from,to,distance_km,vehicle_type,fuel_type,traffic_level,road_type,co2_emission
Patna,Pune,606,bus,diesel,low,rural,114.8
Madurai,Visakhapatnam,1185,car,diesel,medium,highway,95.15
Ahmedabad,Chennai,478,bus,petrol,high,city,79.47
Pune,Chandigarh,271,car,petrol,high,highway,37.53
Kochi,Chandigarh,359,bus,electric,low,city,6.99
Chandigarh,Mysore,1130,car,electric,low,highway,44.89
Trivandrum,Kolkata,1621,car,diesel,medium,rural,288.67
Bangalore,Patna,753,bus,diesel,medium,highway,144.97
Bhopal,Kochi,1609,bike,electric,medium,rural,46.8
Chennai,Lucknow,1355,car,electric,high,city,32.61
Bangalore,Bhubaneswar,1007,bike,electric,high,city,32.13
Mumbai,Kochi,2174,bike,electric,high,city,44.13
Chennai,Mumbai,1526,bus,diesel,high,city,198.61
Goa,Nagpur,1181,bike,petrol,low,city,219.2
Madurai,Delhi,171,bus,electric,low,city,3.56
Kochi,Nagpur,1647,bus,petrol,low,highway,307.95
Mysore,Nagpur,1399,car,petrol,high,highway,321.22
Coimbatore,Kolkata,225,car,diesel,high,rural,42.82
Indore,Chennai,935,bus,diesel,high,rural,205.47
Lucknow,Bhopal,848,bike,petrol,high,rural,196.85
Coimbatore,Lucknow,1730,bike,diesel,low,highway,314.97
Lucknow,Kochi,1577,bike,electric,low,city,61.49
Ranchi,Kochi,1010,car,electric,low,highway,23.05
Goa,Madurai,1045,bike,petrol,medium,rural,164.14
Chandigarh,Patna,1765,bike,diesel,medium,rural,336.68
Madurai,Bhubaneswar,2158,bus,diesel,low,city,423.02
Bhubaneswar,Jaipur,496,car,electric,medium,highway,18.72
Kolkata,Bhopal,2183,car,diesel,medium,highway,231.47
Lucknow,Bhubaneswar,217,bike,electric,high,highway,6.01
Kochi,Bangalore,214,bike,electric,low,rural,6.03
Delhi,Mumbai,661,bike,diesel,high,city,89.15
Ranchi,Chennai,1366,bike,diesel,medium,city,192.99
Bhopal,Jaipur,1395,bus,electric,medium,highway,45.61
Chandigarh,Trivandrum,829,bike,petrol,medium,highway,108.08
Kolkata,Chandigarh,709,bus,electric,medium,city,25.78
Visakhapatnam,Trivandrum,1223,bus,petrol,medium,highway,223.36
Kochi,Lucknow,2036,car,petrol,low,rural,347.09
Bangalore,Lucknow,1493,car,petrol,low,city,202.68
Bhubaneswar,Chandigarh,940,bus,diesel,medium,city,80.82
Goa,Bhopal,2156,car,electric,low,highway,62.98
Visakhapatnam,Chandigarh,1338,bus,electric,medium,highway,41.93
Mumbai,Trivandrum,1129,bus,electric,high,highway,50.54
Indore,Lucknow,571,car,petrol,high,rural,99.75
Kolkata,Lucknow,1373,bike,electric,medium,city,41.71
Bhopal,Jaipur,2073,car,diesel,medium,rural,360.64
Patna,Ranchi,1195,car,diesel,high,rural,150.51
Bangalore,Visakhapatnam,368,bus,electric,medium,rural,10.59
Chandigarh,Bangalore,1063,bus,electric,medium,rural,18.55
Mumbai,Kochi,969,bike,diesel,low,city,152.38
Trivandrum,Mumbai,2028,bus,petrol,low,rural,379.62
Hyderabad,Indore,1216,car,diesel,medium,city,173.39
Trivandrum,Madurai,1888,bike,petrol,low,highway,366.25
Patna,Bhopal,865,car,petrol,low,rural,120.41
Chandigarh,Visakhapatnam,1651,car,diesel,medium,highway,138.9
Bangalore,Indore,851,bike,petrol,medium,highway,91.0
Coimbatore,Mysore,1492,car,diesel,medium,highway,187.94
Bhubaneswar,Pune,1860,bus,diesel,high,rural,253.49
Delhi,Ranchi,2040,bike,electric,high,rural,95.68
Pune,Trivandrum,2028,car,petrol,medium,highway,175.83
Kolkata,Bhubaneswar,420,car,petrol,medium,rural,65.44
Delhi,Pune,1753,car,diesel,medium,rural,345.31
Bhubaneswar,Hyderabad,1030,car,diesel,medium,highway,172.46
Ahmedabad,Kolkata,311,bus,electric,low,city,7.03
Nagpur,Ranchi,385,bike,petrol,medium,highway,41.57
Chennai,Chandigarh,2198,car,diesel,low,highway,409.43
Delhi,Jaipur,369,bike,petrol,medium,city,71.53
Ranchi,Bhopal,768,bus,petrol,medium,highway,88.38
Jaipur,Ahmedabad,1757,car,petrol,high,highway,282.46
Bangalore,Coimbatore,1194,bike,petrol,low,rural,134.99
Ahmedabad,Ranchi,1710,bus,petrol,high,city,171.21
Madurai,Lucknow,1852,bus,petrol,high,city,366.91
Indore,Ranchi,955,bus,petrol,high,rural,153.09
Bhubaneswar,Chandigarh,1197,bike,diesel,high,rural,129.21
Chennai,Hyderabad,1875,bus,petrol,low,city,176.67
Trivandrum,Visakhapatnam,397,car,diesel,medium,city,75.61
Bhubaneswar,Delhi,359,bike,diesel,high,rural,82.18
Patna,Goa,330,bus,diesel,low,city,34.82
Madurai,Coimbatore,1531,car,diesel,low,rural,180.49
Chennai,Bhopal,1305,bike,petrol,medium,rural,127.57
Pune,Mysore,1479,bus,petrol,medium,highway,267.61
Bhubaneswar,Hyderabad,1816,car,petrol,low,highway,327.19
Visakhapatnam,Goa,897,bike,electric,high,highway,24.38
Ahmedabad,Mysore,764,bus,diesel,low,highway,63.95
Ahmedabad,Patna,2038,car,electric,high,rural,57.27
Trivandrum,Chandigarh,1159,bus,electric,high,rural,49.74
Patna,Kolkata,1240,car,diesel,medium,highway,109.64
Coimbatore,Pune,495,bike,petrol,high,rural,114.42
Chennai,Indore,245,bike,petrol,low,rural,21.68
Kochi,Madurai,1136,car,diesel,high,city,226.53
Nagpur,Goa,1074,bike,petrol,medium,highway,87.88
Ranchi,Delhi,131,car,petrol,medium,rural,23.05
Kochi,Mysore,1221,car,petrol,medium,rural,207.69
Trivandrum,Visakhapatnam,887,bike,diesel,low,highway,166.97
Delhi,Madurai,724,car,electric,high,rural,26.78
Mumbai,Chennai,551,bus,electric,low,city,9.64
Ahmedabad,Bhopal,331,bus,electric,low,highway,10.05
Chennai,Indore,1390,bike,electric,high,rural,48.97
Coimbatore,Indore,1110,bike,petrol,low,rural,219.53
Bangalore,Jaipur,415,bike,electric,high,city,13.05
Nagpur,Bhopal,823,car,electric,low,highway,18.66
Kochi,Coimbatore,2099,bus,petrol,medium,rural,277.55
Patna,Mysore,337,bus,electric,medium,highway,9.11
Coimbatore,Bangalore,340,bus,electric,medium,rural,12.61
Hyderabad,Bhubaneswar,722,bike,diesel,medium,highway,58.48
Kochi,Delhi,1118,bus,electric,low,rural,24.76
Bangalore,Coimbatore,930,bus,diesel,medium,rural,126.72
Ahmedabad,Patna,2042,car,petrol,medium,highway,303.98
Kochi,Hyderabad,595,car,petrol,high,city,139.38
Lucknow,Hyderabad,718,car,electric,low,city,15.73
Ranchi,Coimbatore,789,bus,petrol,medium,highway,87.34
Chennai,Bhopal,1312,bike,electric,medium,city,42.94
Nagpur,Kolkata,599,car,diesel,high,rural,103.04
Chennai,Goa,1919,bus,electric,low,highway,62.54
Coimbatore,Kochi,1591,car,diesel,low,rural,215.87
Goa,Mumbai,1908,car,diesel,medium,highway,380.37
Jaipur,Indore,903,bike,diesel,low,highway,107.55
Chennai,Hyderabad,1088,bike,electric,medium,rural,41.15
Pune,Hyderabad,858,bike,electric,low,highway,13.86
Delhi,Ranchi,583,bike,electric,high,rural,22.65
Kolkata,Ranchi,2042,bike,electric,low,city,46.77
Mysore,Madurai,1030,car,diesel,high,rural,102.74
Bhubaneswar,Ahmedabad,419,bike,diesel,medium,rural,68.85
Kolkata,Lucknow,803,car,diesel,low,city,71.79
Nagpur,Chennai,1997,bus,electric,low,city,59.33
Lucknow,Bhopal,1756,bus,petrol,high,city,369.76
Bhubaneswar,Goa,1425,bike,petrol,medium,city,231.22
Chandigarh,Bhopal,206,car,electric,medium,rural,5.53
Ranchi,Nagpur,1570,car,electric,high,city,48.22
Chandigarh,Hyderabad,197,bike,petrol,low,city,23.9
Ranchi,Hyderabad,433,bike,diesel,high,rural,64.78
Goa,Bhubaneswar,1096,bus,petrol,medium,city,183.8
Madurai,Bhopal,212,car,diesel,medium,highway,34.23
Bhubaneswar,Nagpur,947,bike,diesel,low,city,87.39
Lucknow,Jaipur,1873,bus,petrol,high,rural,230.2
Kolkata,Pune,940,bike,electric,low,city,28.03
Mysore,Chennai,223,car,petrol,high,highway,26.88
Trivandrum,Lucknow,1248,bus,petrol,high,rural,267.21
Nagpur,Pune,534,car,petrol,high,rural,82.38
Goa,Mysore,1703,bike,diesel,high,highway,200.93
Kochi,Patna,1365,car,petrol,low,rural,164.35
Ahmedabad,Pune,340,car,electric,high,rural,7.02
Kochi,Delhi,1040,bike,electric,low,city,33.8
Bhopal,Pune,673,bike,diesel,low,rural,72.56
Coimbatore,Delhi,182,bike,electric,medium,rural,7.25
Mumbai,Kolkata,1986,car,petrol,low,city,354.04
Nagpur,Madurai,337,bike,electric,low,city,7.7
Visakhapatnam,Bangalore,363,bus,electric,high,rural,13.29
Hyderabad,Mysore,2077,bus,petrol,medium,highway,290.17
Ahmedabad,Mysore,632,car,electric,high,city,26.73
Lucknow,Mysore,1794,bus,petrol,high,city,419.47
Chennai,Goa,1968,bus,diesel,low,city,210.03
Delhi,Bhopal,1075,bike,electric,high,rural,37.21
Bhubaneswar,Patna,757,bus,electric,high,city,30.39
Ranchi,Bhopal,1083,bike,diesel,high,rural,123.52
Bhopal,Ahmedabad,824,bus,petrol,medium,highway,90.83
Mumbai,Bhopal,463,car,petrol,high,highway,45.46
Lucknow,Madurai,370,bus,electric,medium,rural,11.69
Goa,Chandigarh,1198,car,electric,low,rural,26.71
Hyderabad,Kochi,1862,bike,diesel,low,rural,321.9
Bangalore,Ranchi,1657,bike,diesel,high,highway,267.47
Coimbatore,Pune,1121,bike,petrol,medium,city,165.24
Bangalore,Bhubaneswar,1851,bike,diesel,medium,highway,302.09
Visakhapatnam,Mumbai,318,bike,electric,medium,rural,7.72
Mysore,Nagpur,1990,bike,electric,high,rural,81.68
Madurai,Ahmedabad,1675,bus,diesel,high,city,306.36
Mysore,Visakhapatnam,209,car,diesel,medium,city,32.97
Bangalore,Indore,884,bike,petrol,high,city,134.76
Chennai,Visakhapatnam,212,bus,diesel,high,highway,40.59
Jaipur,Kolkata,1775,bike,diesel,high,rural,324.15
Kochi,Chandigarh,687,bike,petrol,medium,highway,83.08
Nagpur,Goa,363,bike,electric,low,highway,11.36
Kochi,Ranchi,777,bike,petrol,low,city,84.7
Patna,Ahmedabad,727,car,petrol,medium,city,110.29
Madurai,Bhopal,567,bus,electric,low,city,19.28
Bangalore,Patna,2200,bus,diesel,high,city,341.54
Bhopal,Kochi,1727,car,electric,high,rural,61.87
Indore,Kochi,894,bike,electric,low,rural,34.62
Mumbai,Chennai,431,bus,petrol,low,highway,37.02
Goa,Jaipur,1854,bike,petrol,medium,highway,231.45
Jaipur,Indore,928,bike,electric,low,rural,22.32
Visakhapatnam,Ranchi,1074,bike,diesel,high,city,216.73
Pune,Patna,130,bus,diesel,low,city,15.85
Lucknow,Bhopal,1941,bus,petrol,medium,rural,252.24
Indore,Ranchi,624,car,petrol,low,highway,69.81
Lucknow,Ahmedabad,922,bus,petrol,medium,rural,142.35
Bangalore,Madurai,964,bus,electric,high,rural,44.87
Ranchi,Bangalore,819,bus,petrol,low,highway,69.76
Kochi,Hyderabad,504,car,electric,low,rural,18.2
Patna,Chennai,633,bike,electric,medium,city,25.05
Goa,Chennai,1392,bus,electric,low,city,30.46
Ranchi,Goa,1114,bus,petrol,medium,rural,152.44
Madurai,Kochi,1230,bus,diesel,low,highway,121.15
Chandigarh,Delhi,1516,car,diesel,high,city,261.82
Mysore,Kolkata,2057,bike,petrol,high,highway,207.15
Pune,Chennai,1651,car,electric,medium,highway,43.01
Goa,Bangalore,1061,bike,petrol,low,city,87.71
Delhi,Lucknow,834,car,diesel,medium,highway,82.47
Pune,Lucknow,675,car,diesel,medium,city,94.09
Coimbatore,Goa,1613,bus,petrol,low,highway,180.46
Kolkata,Coimbatore,1710,bus,diesel,low,rural,252.84
Indore,Visakhapatnam,1124,bus,electric,high,highway,46.92
Jaipur,Lucknow,514,bike,diesel,medium,city,96.68
Jaipur,Kochi,1530,bike,petrol,low,city,136.88
Patna,Pune,226,bike,electric,low,city,5.57
Pune,Visakhapatnam,1914,car,electric,high,rural,57.55
Trivandrum,Mysore,734,bus,diesel,medium,highway,143.44
Nagpur,Kochi,766,bike,diesel,high,rural,165.95
Mumbai,Goa,1220,car,electric,medium,rural,27.23
Bangalore,Jaipur,906,car,electric,low,rural,31.13
Mumbai,Kochi,1647,car,electric,high,highway,34.61
Bhubaneswar,Kolkata,876,bike,diesel,medium,city,128.91
Mysore,Jaipur,1239,bus,electric,medium,rural,22.12
Ranchi,Chandigarh,1952,bike,electric,medium,rural,69.18
Hyderabad,Kochi,833,car,diesel,high,highway,126.67
Pune,Visakhapatnam,1192,bike,diesel,medium,highway,225.94
Chandigarh,Chennai,1840,car,electric,high,city,55.73
Coimbatore,Nagpur,1943,bike,diesel,low,highway,380.15
Bhubaneswar,Bhopal,331,car,diesel,low,city,45.89
Bhubaneswar,Mumbai,461,bus,petrol,low,highway,91.15
Visakhapatnam,Indore,2027,bike,diesel,low,highway,395.47
Hyderabad,Bangalore,1389,bus,electric,low,highway,23.48
Kolkata,Lucknow,2129,bus,diesel,low,highway,404.64
Chandigarh,Madurai,322,car,electric,high,city,9.99
Kochi,Ahmedabad,147,bike,diesel,high,city,20.29
Goa,Trivandrum,2145,bike,petrol,low,city,423.82
Kolkata,Jaipur,1635,bus,diesel,medium,city,139.8
Bangalore,Trivandrum,1301,car,electric,high,rural,51.67
Trivandrum,Kolkata,791,bus,electric,low,highway,18.36
Ahmedabad,Visakhapatnam,1993,car,diesel,low,rural,162.56
Lucknow,Ranchi,866,bus,electric,medium,city,26.14
Mumbai,Madurai,1079,car,diesel,high,rural,221.68
Madurai,Mumbai,1128,bus,electric,high,highway,47.79
Bangalore,Coimbatore,790,car,electric,medium,rural,23.66
Kolkata,Mysore,419,bike,petrol,low,city,60.18
Patna,Coimbatore,904,bike,petrol,low,highway,73.88
Delhi,Lucknow,344,bus,diesel,low,highway,42.29
Jaipur,Hyderabad,135,car,diesel,medium,highway,19.15
Mumbai,Nagpur,1833,car,electric,medium,city,29.46
Ahmedabad,Indore,1160,bus,electric,medium,rural,42.15
Bhopal,Chennai,912,car,diesel,low,city,149.54
Chennai,Ranchi,259,bike,electric,high,rural,6.9
Lucknow,Mysore,1361,car,petrol,low,city,232.14
Goa,Trivandrum,1268,car,electric,low,rural,36.43
Bhopal,Kochi,508,bike,diesel,high,city,84.85
Kochi,Hyderabad,914,bike,petrol,low,city,156.03
Ahmedabad,Visakhapatnam,1834,car,electric,medium,highway,66.49
Mumbai,Coimbatore,2004,bus,diesel,high,city,442.96
Patna,Hyderabad,118,car,petrol,low,highway,22.31
Bhopal,Delhi,2083,bike,electric,medium,highway,71.34
Pune,Coimbatore,536,bike,electric,low,rural,10.15
Bhubaneswar,Chandigarh,625,car,diesel,low,rural,74.56
Bhubaneswar,Lucknow,448,bike,diesel,low,highway,69.66
Chandigarh,Kolkata,1637,bike,diesel,high,city,321.45
Lucknow,Nagpur,563,car,diesel,medium,city,90.92
Delhi,Madurai,175,car,diesel,low,highway,34.35
Goa,Indore,1011,car,diesel,medium,city,143.26
Ahmedabad,Nagpur,2088,bus,petrol,low,rural,294.55
Chandigarh,Mysore,699,car,diesel,high,city,163.27
Trivandrum,Chennai,713,car,electric,low,rural,15.25
Chandigarh,Visakhapatnam,1510,bus,petrol,medium,city,146.27
Mysore,Kochi,860,car,electric,high,city,17.62
Delhi,Indore,1062,bus,petrol,high,city,116.96
Lucknow,Bangalore,474,bus,electric,low,rural,10.59
Ranchi,Trivandrum,1839,bus,petrol,high,rural,197.75
Indore,Patna,978,bus,electric,low,city,21.24
Ahmedabad,Pune,845,bus,petrol,high,rural,199.44
Hyderabad,Nagpur,386,bike,electric,medium,city,8.0
Patna,Chennai,1250,bus,diesel,low,city,142.1
Ranchi,Kolkata,2100,car,electric,high,city,81.88
Pune,Bangalore,230,car,electric,medium,highway,6.87
Trivandrum,Bhopal,1733,bus,electric,high,rural,73.15
Ranchi,Jaipur,2172,car,electric,high,rural,93.61
Bhubaneswar,Goa,843,bus,petrol,high,rural,137.44
Goa,Trivandrum,777,bus,electric,medium,city,20.3
Lucknow,Jaipur,1543,car,petrol,medium,city,209.53
Chennai,Coimbatore,674,bus,petrol,high,rural,132.78
Jaipur,Mumbai,880,car,petrol,medium,rural,125.33
Bangalore,Hyderabad,1306,bus,diesel,medium,city,110.14
Madurai,Pune,1289,bus,diesel,low,highway,153.19
Chennai,Lucknow,1221,bike,diesel,high,city,234.67
Patna,Visakhapatnam,337,bus,diesel,high,highway,65.0
Goa,Madurai,1031,bus,petrol,high,highway,222.56
Delhi,Kochi,1125,bike,electric,low,rural,34.09
Delhi,Patna,469,car,electric,low,city,7.55
Ranchi,Jaipur,574,bus,electric,medium,rural,15.65
Indore,Visakhapatnam,1278,car,electric,low,highway,34.03
Mumbai,Jaipur,2082,car,electric,medium,city,35.69
Jaipur,Madurai,2138,car,diesel,medium,highway,376.97
Indore,Mysore,478,bike,diesel,medium,city,64.04
Pune,Chennai,1315,bus,petrol,low,city,201.37
Bhubaneswar,Mumbai,2158,car,petrol,medium,rural,235.74
Coimbatore,Pune,1576,car,electric,low,highway,50.85
Bangalore,Bhubaneswar,1607,bus,electric,high,city,53.24
Goa,Coimbatore,667,bike,diesel,low,rural,77.65
Mumbai,Ranchi,1367,bike,electric,high,highway,50.6
Jaipur,Mysore,287,bus,diesel,low,rural,24.97
Chennai,Trivandrum,2193,car,diesel,high,rural,396.29
Trivandrum,Chennai,1936,bike,diesel,low,highway,167.88
Ahmedabad,Trivandrum,296,car,petrol,high,highway,40.98
Hyderabad,Jaipur,565,car,diesel,high,city,97.38
Chennai,Bangalore,2063,bike,petrol,medium,highway,338.75
Pune,Delhi,288,car,electric,low,rural,5.91
Coimbatore,Bhubaneswar,226,car,petrol,high,city,22.55
Kochi,Lucknow,563,bus,diesel,high,city,129.66
Bangalore,Coimbatore,97,bus,electric,low,city,1.59
Chandigarh,Nagpur,867,bike,petrol,medium,city,79.45
Jaipur,Madurai,2038,bike,diesel,high,rural,366.49
Pune,Ahmedabad,1634,car,petrol,low,highway,210.05
Visakhapatnam,Mumbai,774,bike,diesel,medium,city,78.38
Trivandrum,Chandigarh,1107,bus,diesel,high,city,150.26
Trivandrum,Patna,480,bike,electric,medium,city,16.17
Coimbatore,Mysore,2108,bus,diesel,medium,rural,289.76
Bhopal,Bhubaneswar,273,bus,electric,high,rural,7.18
Trivandrum,Kochi,1556,bus,petrol,low,rural,152.38
Chandigarh,Kochi,723,car,diesel,low,city,92.74
Mumbai,Patna,207,bike,petrol,medium,highway,23.11
Mumbai,Hyderabad,1730,bus,electric,low,rural,48.11
Lucknow,Bhubaneswar,258,car,diesel,high,city,60.21
Bhubaneswar,Indore,1670,bike,diesel,medium,highway,159.05
Ahmedabad,Nagpur,2011,bike,electric,low,highway,56.1
Delhi,Mysore,521,bus,diesel,high,highway,97.24
Ranchi,Lucknow,482,bus,petrol,low,highway,60.12
Ahmedabad,Kochi,650,car,petrol,low,highway,89.17
Trivandrum,Indore,677,bike,electric,medium,city,25.21
Indore,Bhopal,114,car,diesel,high,rural,20.36
Goa,Kolkata,1597,bike,diesel,medium,rural,299.18
Goa,Patna,153,car,diesel,low,highway,24.38
Hyderabad,Ahmedabad,2081,bike,electric,high,highway,85.84
Chandigarh,Delhi,916,car,petrol,low,rural,96.66
Mysore,Kochi,1660,bike,petrol,low,highway,238.51
Delhi,Kolkata,1102,bike,petrol,medium,city,163.39
Kolkata,Indore,1647,car,electric,low,highway,27.32
Bhopal,Mysore,890,bike,diesel,high,rural,209.74
Ahmedabad,Trivandrum,747,car,diesel,low,highway,106.64
Kolkata,Bangalore,2122,car,diesel,high,city,254.81
Ranchi,Visakhapatnam,990,car,electric,medium,city,21.12
Jaipur,Coimbatore,1609,bus,petrol,high,rural,286.11
Pune,Jaipur,1219,bus,petrol,high,rural,268.54
Kolkata,Bhubaneswar,353,car,petrol,high,highway,64.46
Hyderabad,Mumbai,610,bike,petrol,high,rural,65.71
Indore,Pune,368,bike,electric,medium,highway,14.22
Nagpur,Madurai,753,bike,diesel,low,rural,115.15
Jaipur,Kolkata,1845,bus,diesel,low,city,226.29
Bhubaneswar,Chennai,951,bus,electric,medium,highway,22.52
Mumbai,Mysore,1617,bike,petrol,high,highway,337.07
Kolkata,Jaipur,1534,bike,electric,high,city,48.85
Madurai,Pune,1653,bus,electric,low,rural,32.13
Delhi,Nagpur,1472,bus,diesel,medium,highway,230.56
Mysore,Bhopal,477,bike,petrol,low,rural,90.41
Indore,Pune,854,bike,diesel,medium,rural,116.74
Hyderabad,Trivandrum,2066,bike,diesel,low,city,294.47
Mumbai,Trivandrum,1778,bus,electric,medium,rural,64.58
Lucknow,Madurai,191,car,electric,low,rural,5.89
Chennai,Pune,841,bike,electric,low,highway,33.33
Indore,Mumbai,2089,car,petrol,low,rural,382.81
Indore,Patna,1082,bike,electric,low,city,22.0
Madurai,Trivandrum,518,car,petrol,low,city,45.97
Kochi,Kolkata,1917,car,electric,low,highway,30.78
Hyderabad,Goa,536,bike,diesel,high,highway,58.53
Chandigarh,Bangalore,2057,bus,petrol,high,rural,269.89
Chandigarh,Kochi,2045,car,petrol,medium,highway,181.61
Goa,Kolkata,1218,car,electric,low,rural,42.97
Trivandrum,Bangalore,416,bus,electric,high,city,10.03
Chandigarh,Visakhapatnam,512,car,petrol,low,highway,45.75
Ranchi,Trivandrum,566,bus,petrol,high,highway,106.66
Visakhapatnam,Bhubaneswar,1058,bus,petrol,low,city,132.18
Mysore,Goa,1966,car,petrol,medium,highway,255.38
Patna,Madurai,1610,bus,diesel,high,rural,165.83
Hyderabad,Bhopal,459,car,petrol,high,highway,52.03
Mysore,Bangalore,790,bike,electric,low,city,28.06
Ranchi,Bhopal,1239,bike,petrol,medium,city,104.15
Ranchi,Nagpur,1537,car,diesel,medium,city,134.74
Ahmedabad,Delhi,1652,bus,diesel,high,city,198.88
Ahmedabad,Bhubaneswar,801,bus,electric,low,rural,16.1
Indore,Pune,952,bike,electric,low,city,34.9
Pune,Kochi,2117,bike,diesel,medium,rural,269.77
Jaipur,Patna,996,bike,electric,medium,city,20.75
Bhubaneswar,Lucknow,192,bike,petrol,low,rural,19.68
Coimbatore,Mysore,1893,bike,diesel,low,rural,248.02
Kolkata,Mumbai,1622,bike,diesel,medium,highway,282.55
Lucknow,Indore,166,car,diesel,low,highway,14.57
Hyderabad,Goa,1614,car,petrol,high,highway,318.01
Chandigarh,Mumbai,319,bus,diesel,high,rural,56.62
Trivandrum,Patna,796,bus,diesel,medium,city,93.24
Bhopal,Chandigarh,1730,bus,petrol,low,rural,207.32
Ahmedabad,Jaipur,1391,bike,electric,low,city,30.75
Chennai,Lucknow,839,bus,electric,medium,city,33.2
Mumbai,Madurai,837,car,petrol,medium,rural,73.4
Hyderabad,Ranchi,2133,bus,diesel,low,city,203.58
Patna,Bhopal,113,car,diesel,high,highway,16.48
Bhubaneswar,Mumbai,1598,bike,petrol,medium,city,223.24
Delhi,Kochi,1774,bus,petrol,low,rural,246.02
Kolkata,Nagpur,1525,car,petrol,low,rural,250.36
Chandigarh,Ranchi,620,bike,electric,high,city,20.35
Kolkata,Jaipur,1958,bus,diesel,low,city,239.93
Mumbai,Trivandrum,846,car,diesel,high,rural,91.73
Bhopal,Bangalore,1258,bike,diesel,low,rural,161.63
Bangalore,Mumbai,1388,car,diesel,low,rural,164.43
Coimbatore,Trivandrum,231,bus,diesel,high,highway,44.31
Ahmedabad,Bhopal,391,car,electric,medium,city,11.73
Hyderabad,Mysore,965,bus,electric,low,highway,37.76
Coimbatore,Lucknow,1493,car,petrol,low,city,273.41
Kochi,Mysore,1912,car,electric,medium,city,48.62
Chennai,Kochi,1546,bike,electric,medium,city,42.56
Jaipur,Indore,170,bus,electric,medium,highway,5.29
Kolkata,Indore,1445,car,diesel,low,city,137.95
Madurai,Kolkata,1182,bike,diesel,medium,rural,134.56
Chandigarh,Madurai,230,bike,diesel,high,rural,29.87
Kolkata,Coimbatore,1719,bike,diesel,medium,city,206.15
Hyderabad,Chandigarh,2129,car,diesel,medium,rural,392.74
Nagpur,Goa,1705,car,diesel,medium,highway,200.57
Bangalore,Delhi,1026,car,diesel,high,highway,156.52
Chennai,Delhi,1942,car,diesel,medium,rural,243.93
Bhubaneswar,Indore,1871,bike,electric,low,rural,67.21
Pune,Indore,2167,bike,diesel,medium,rural,191.35
Goa,Indore,1613,bus,electric,high,city,53.05
Bhopal,Madurai,1826,bus,petrol,medium,city,223.17
Madurai,Mysore,1997,bus,petrol,medium,rural,243.12
Ranchi,Kolkata,1437,bike,electric,high,highway,41.3
Chandigarh,Indore,471,bus,petrol,low,highway,78.94
Kochi,Indore,860,bus,diesel,high,highway,115.57
Ahmedabad,Nagpur,798,bus,electric,medium,rural,14.82
Patna,Kolkata,1901,car,electric,medium,highway,37.18
Jaipur,Visakhapatnam,1519,car,electric,high,highway,66.89
Kolkata,Mysore,678,car,electric,high,city,13.91
Chennai,Patna,297,car,petrol,high,city,48.49
Delhi,Coimbatore,1299,bike,electric,medium,highway,39.96
Kochi,Kolkata,1493,bike,petrol,high,highway,221.07
Patna,Hyderabad,845,bus,petrol,medium,city,87.46
Delhi,Jaipur,229,bus,diesel,low,city,26.08
Chandigarh,Ahmedabad,1494,car,petrol,high,rural,340.75
Patna,Mysore,1091,car,diesel,high,city,149.08
Chandigarh,Kochi,262,bike,diesel,low,rural,36.09
Kochi,Chennai,1613,bus,electric,high,highway,32.83
Nagpur,Visakhapatnam,2050,car,diesel,low,rural,404.93
Coimbatore,Delhi,923,bike,electric,medium,rural,18.2
Goa,Chennai,183,bike,electric,medium,city,4.15
Goa,Ahmedabad,2023,bus,electric,medium,rural,61.18
Visakhapatnam,Bhubaneswar,1660,bike,petrol,low,highway,233.75
Chandigarh,Nagpur,2021,bus,electric,high,rural,66.23
Nagpur,Goa,617,bike,petrol,low,highway,107.81
Chennai,Jaipur,1748,bus,diesel,high,rural,226.71
Bhopal,Chandigarh,302,car,petrol,high,city,64.99
Lucknow,Bhubaneswar,229,car,diesel,high,rural,42.89
Chandigarh,Indore,1354,car,electric,medium,city,32.22
Patna,Ahmedabad,1915,car,diesel,high,city,267.02
Bhopal,Delhi,1538,bus,petrol,medium,rural,295.26
Bhubaneswar,Ahmedabad,576,car,diesel,medium,highway,92.53
Lucknow,Ahmedabad,1644,car,diesel,medium,rural,308.32
Goa,Hyderabad,863,bus,electric,medium,rural,25.06
Visakhapatnam,Nagpur,703,bus,electric,medium,rural,19.89
Trivandrum,Kochi,1799,car,electric,low,rural,63.21
Ahmedabad,Bangalore,2160,car,diesel,high,rural,393.86
Lucknow,Trivandrum,516,bike,electric,medium,highway,18.94
Lucknow,Kolkata,1103,car,electric,low,highway,42.97
Hyderabad,Mumbai,1710,car,diesel,medium,highway,167.25
Lucknow,Mysore,1673,bike,petrol,high,city,208.17
Trivandrum,Bhubaneswar,638,bike,diesel,medium,rural,91.4
Madurai,Mysore,1500,car,electric,medium,rural,37.49
Ranchi,Chennai,1901,bike,electric,high,city,54.39
Chennai,Chandigarh,573,car,petrol,low,rural,47.04
Pune,Patna,139,car,petrol,high,rural,25.09
Bangalore,Kolkata,500,car,electric,low,city,19.65
Chandigarh,Bangalore,2002,bike,petrol,high,highway,391.46
Indore,Kolkata,629,bus,petrol,high,city,147.94
Goa,Trivandrum,1801,bike,petrol,low,rural,313.34
Chennai,Mumbai,603,car,petrol,low,city,110.73
Bangalore,Ahmedabad,778,bike,electric,low,city,21.25
Trivandrum,Bhopal,1211,car,diesel,high,rural,257.22
Trivandrum,Jaipur,1740,bus,diesel,high,rural,413.84
